"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraies (stade B2 ou"	"12) ;- 5 parcelles"	"1044-1048"	"1721"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraies (stade B2 ou"	"12) ;- 5 parcelles"	"1044-1048"	"1721"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH 13"	"BBCH @card@"	""	"vraies (stade B3 ou"	") ;- 1 parcelle à 4"	"1101-1108"	"1721"	"type=BBCH-DD, canonical-form=BBCH 13, form=BBCH 13"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraies (stade B3 ou"	"13) ;- 1 parcelle à"	"1101-1105"	"1721"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraies (stade B3 ou"	"13) ;- 1 parcelle à"	"1101-1105"	"1721"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH 14"	"BBCH @card@"	""	"vraies (stade B4 ou"	"). Ravageurs Altises"	"1157-1164"	"1721"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraies (stade B4 ou"	"14). Ravageurs Alti"	"1157-1161"	"1721"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraies (stade B4 ou"	"14). Ravageurs Alti"	"1157-1161"	"1721"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714.html"	"d2kab"	"BBCH 10"	"BBCH @card@"	""	"tylédon (stade A ou"	") ; 2 parcelles à 3"	"1057-1064"	"1725"	"type=BBCH-DD, canonical-form=BBCH 10, form=BBCH 10"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714.html"	"d2kab"	"BBCH"	"BBCH"	""	"tylédon (stade A ou"	"10) ; 2 parcelles à"	"1057-1061"	"1725"	"type=BBCH, canonical-form=BBCH , form=BBCH"
