"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"P."	"ur les parcelles de"	"colza"	"colza"	"colza"	". Le stade début flo"	"140-145"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"H3."	"loraison. Ravageurs"	"COLZA"	"colza"	"colza"	"Ravageurs Maladie B"	"397-402"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"H3."	"BLE Situation saine"	"ORGE"	"orge"	"orge"	"Etat sanitaire sati"	"441-445"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=ORGE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"P."	"es La floraison des"	"colzas"	"colza"	"colza"	"démarre sur des col"	"726-732"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"P."	"zas démarre sur des"	"colzas"	"colza"	"colza"	"sains. Aucune trace"	"749-755"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"P."	"dans les champs de"	"blé"	"blé"	"blé"	". Ce phénomène rare"	"1595-1598"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=blé"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"P."	"ns les parcelles de"	"blé dur"	"blé dur"	"blé dur"	"du Sud-est et fait"	"1670-1677"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles_durs, skos-prefLabel=blé dur, form=blé dur"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"H2."	"temps chaud et sec."	"ORGE"	"orge"	"orge"	"Les stades des orge"	"2282-2286"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=ORGE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"H2."	"07 du 16 avril 2013"	"COLZA"	"colza"	"colza"	"Les températures pr"	"24-29"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"P."	"e plus soutenue des"	"colzas"	"colza"	"colza"	". Les stades varient"	"104-110"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"H2."	"tige et méligèthes"	"COLZA"	"colza"	"colza"	"Charançon de la tig"	"354-359"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"H2."	"on BLE Risque verse"	"ORGE"	"orge"	"orge"	"Les piégeages de ch"	"433-437"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=ORGE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"P."	"e, la floraison des"	"colzas"	"colza"	"colza"	"peut être fortement"	"1239-1245"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"P."	"ines situations, le"	"colza"	"colza"	"colza"	"n'arrive pas à fleu"	"1308-1313"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/07_BSV_GC_16042013_cle83b3df.html"	"html"	"635"	"P."	"ançon de la tige du"	"colza"	"colza"	"colza"	"et méligèthes peut"	"1475-1480"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
