"bsv"	"context before"	"conjunction"	"match"	"context after"	"location"	"features"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"sur la parcelle de"	"persil et une"	"persil"	"stagnation des piég"	"6469-6482"	"type=N_KON_N, form=persil et une"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"vados : carotte : 4"	"parcelles, céleri"	"céleri"	": 1 parcelleHaute-N"	"6247-6264"	"type=N_PUN_N, form=parcelles, céleri"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"andie : carotte : 1"	"parcelle, céleri"	"céleri"	": 2 parcelles, pers"	"6307-6323"	"type=N_PUN_N, form=parcelle, céleri"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"arcelle, céleri : 2"	"parcelles, persil"	"persil"	": 1 parcelle Mouche"	"6328-6345"	"type=N_PUN_N, form=parcelles, persil"
"20130606_bsv_maraichage_13_cle46d94d"	"geage à Allonnes en"	"navet, radis, poireau"	"navet, radis, poireau"	"sous abris et en fè"	"3034-3055"	"type=N_PUN_N, form=navet, radis, poireau"
"20130606_bsv_maraichage_13_cle46d94d"	"nt été observés sur"	"haricot et épinard"	"haricot, épinard"	"(cf photo). Pour ra"	"3374-3392"	"type=N_KON_N, form=haricot et épinard"
"20130606_bsv_maraichage_13_cle46d94d"	"ures à cycle court ("	"radis, mâche"	"radis, mâche"	") mais il est faible"	"3527-3539"	"type=N_PUN_N, form=radis, mâche"
"20130606_bsv_maraichage_13_cle46d94d"	"(49) en sous abris ("	"navet, radis"	"navet, radis"	") et en plein champ"	"8643-8655"	"type=N_PUN_N, form=navet, radis"
"20130606_bsv_maraichage_13_cle46d94d"	"et en plein champ ("	"radis, fève"	"radis, fève"	"). 2 parcelles de pi"	"8676-8687"	"type=N_PUN_N, form=radis, fève"
"20130606_bsv_maraichage_13_cle46d94d"	"par les pigeons sur"	"chou et roquette"	"chou, roquette"	": les feuilles sont"	"9524-9540"	"type=N_KON_N, form=chou et roquette"
"20130606_bsv_maraichage_13_cle46d94d"	"PIE C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	"CONCOMBRE, COURGETTE, MELON"	") Suivi 2 parcelles"	"10629-10656"	"type=N_PUN_N, form=CONCOMBRE, COURGETTE, MELON"
"20130606_bsv_maraichage_13_cle46d94d"	"013 C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	"CONCOMBRE, COURGETTE, MELON"	") (suite) Attaque de"	"11720-11747"	"type=N_PUN_N, form=CONCOMBRE, COURGETTE, MELON"
"20130912_bsv_maraichage_26_cle4ed671"	"acées Mouche du"	"chou, altises"	"chou"	"P. 5 Cucu"	"265-278"	"type=N_PUN_N, form=chou, altises"
"20130912_bsv_maraichage_26_cle4ed671"	"de la carotte et du"	"chou, observation"	"chou"	"de pucerons dans le"	"982-999"	"type=N_PUN_N, form=chou, observation"
"20130912_bsv_maraichage_26_cle4ed671"	"iégeage dans le 49 ("	"chou, radis et radis"	"chou, radis, radis"	"noir). Mouche du c"	"6438-6458"	"type=N_PUN_N_KON_N, form=chou, radis et radis"
"20130912_bsv_maraichage_26_cle4ed671"	"DDL C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	"CONCOMBRE, COURGETTE, MELON"	") Suivi Plusieurs pa"	"7556-7583"	"type=N_PUN_N, form=CONCOMBRE, COURGETTE, MELON"
"20130912_bsv_maraichage_26_cle4ed671"	"e ces ravageurs. En"	"Melon, la"	"Melon"	"pression en sésamie"	"8157-8166"	"type=N_PUN_N, form=Melon, la"
"20130912_bsv_maraichage_26_cle4ed671"	"013 C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	"CONCOMBRE, COURGETTE, MELON"	") (SUITE) Maladies"	"9333-9360"	"type=N_PUN_N, form=CONCOMBRE, COURGETTE, MELON"
"20130912_bsv_maraichage_26_cle4ed671"	"E 2013 S OLANACEES ("	"TOMATE,POMME"	"TOMATE"	"DE TERRE,POIVRON,AU"	"12919-12931"	"type=N_PUN_N, form=TOMATE,POMME"
"20130912_bsv_maraichage_26_cle4ed671"	"ES (TOMATE,POMME DE"	"TERRE,POIVRON"	"POIVRON"	",AUBERGINE) Suivi Pa"	"12935-12948"	"type=N_PUN_N, form=TERRE,POIVRON"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"......... 5 Les"	"choux et navets"	"choux, navets"	"..................."	"1005-1020"	"type=N_KON_N, form=choux et navets"
