	Line	Column	Rule ID	Prio	Message	Word	Suggestion
1244	3174	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	estelle	est-elle; Estelle; pestelle; pestellè; pestellé
1245	3177	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	estival	estivale symptômes; estival symptômes; estival e symptômes
1246	3179	1			Faute de frappe possible : un mot est répété : et et. Correction : « et ».	et	et
1247	3180	4	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	et-Blacons	Balcons; Blasons; Flacons; Glaçons; Plaçons
1248	3184	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	eurl	EURL; euro; URL; EUR; Earl
1249	3190	1			« exception » et « exceptionnel » ne semblent pas bien accordés en genre.	exceptionnel	exceptionnelle
1250	3210	1			« exploitation » et « explosif » ne semblent pas bien accordés en genre.	explosif	explosive
1251	3218	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	exsoleta	obsolète; déroulera; exploita; exposera; exhorta
1252	3225	1			« extérieur » et « extériorisation » ne semblent pas bien accordés en genre.	extériorisation	
1253	3232	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	facies	faciès; faces; faciles; farcies; fâchés
1254	3235	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	facili	facile
1255	3249	1			« famille » et « farineux » ne semblent pas bien accordés en genre.	farineux	
1256	3250	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fastidiosa	fastidieuse
1257	3250	1			Faute de frappe possible : un mot est répété : fastidiosa fastidiosa. Correction : « fastidiosa ».	fastidiosa	fastidiosa
1258	3251	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fastidiosa-une	fastidieuse
1259	3251	12	D_N[1] 	1	‘Une’ et le nom ‘fauchage’ ne semblent pas bien accordés.	fastidiosa-une	un fauchage; des fauchages
1260	3255	1			« faunistique » et « faunistiques » ne semblent pas bien accordés en nombre.	faunistique	
1261	3259	1			« favorable » et « favorisantes » ne semblent pas bien accordés en nombre.	favorable	
1262	3261	1			« favorisantes » et « favorisants » ne semblent pas bien accordés en genre.	favorisants	favorisantes
1263	3272	1			« fermeture » et « fermé » ne semblent pas bien accordés en genre.	fermé	fermée
1264	3282	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ffle	fille; file; fée; folle; fie
1265	3293	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fileadmin	file admin
1266	3302	1			« final » et « finalité » ne semblent pas bien accordés en genre.	finalité	
1267	3313	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	flavescence	flavescente
1268	3315	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	flement	élément; clément; Clément
1269	3317	1			« fleur » et « fleuri » ne semblent pas bien accordés en genre.	fleuri	fleurie
1270	3321	1			« floconneux » et « floraison » ne semblent pas bien accordés en genre.	floraison	
1271	3322	1			« floral » et « floraux » ne semblent pas bien accordés en nombre.	floral	
1272	3322	1			« floraison » et « floral » ne semblent pas bien accordés en genre.	floral	florale
1273	3325	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fluopicolide	
1274	3333	1			Faute de frappe possible : un mot est répété : fois fois. Correction : « fois ».	fois	fois
1275	3338	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	folletage	colletage; filetage; collectage; moletage; colletages
1276	3340	1			« fonction » et « fonctionnel » ne semblent pas bien accordés en genre.	fonctionnel	fonctionnelle
1277	3363	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	foyens	moyens; foyers; doyens
1278	3365	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fr	FR; fer; or; FM; fur
1279	3369	1			« fragment » et « fraiches » ne semblent pas bien accordés en nombre.	fragment	
1280	3371	1			« fragment » et « fraiches » ne semblent pas bien accordés en genre.	fraiches	
1281	3373	1			« fraicheur » et « frais » ne semblent pas bien accordés en genre.	frais	
1282	3375	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	francois	François; français; Francis; franchis; Françoise
1283	3377	1			« franquette » et « français » ne semblent pas bien accordés en genre.	français	
1284	3381	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fredon	frelon; fredonne; fréon; fredonné; fredonna
1285	3385	1			« friche » et « froid » ne semblent pas bien accordés en genre.	froid	froide
1286	3387	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	froudillon@allier	
1287	3388	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fructi	frutti
1288	3389	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fructifica	fructifia
1289	3395	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	fréquem	Grèce; fresque; fresques; fréquent; fraiche
