"bsv"	"context"	"word"	"context"	"location"	"features"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"ccolés) au stade E ("	"BBCH57"	"boutons séparés). S"	"6294-6300"	"type=BBCH, form=BBCH57"
"bsv_gc_mp_n27_16052019_cle046a11"	"rivent au stade G5 ("	"BBCH81"	": grains colorés)."	"19637-19643"	"type=BBCH, form=BBCH81"
"bsv_gc_mp_n27_16052019_cle046a11"	"es début floraison ("	"BBCH60"	") et "" jeunes gousse"	"28358-28364"	"type=BBCH, form=BBCH60"
"bsv_grandes_cultures_n10_22112018_cle815c16"	"passé le stade B10 ("	"BBCH19"	") et celles plus tar"	"2047-2053"	"type=BBCH, form=BBCH19"
"bsv_grandes_cultures_n10_22112018_cle815c16"	"s sont au stade B4 ("	"BBCH14"	"). Action pilotée pa"	"2097-2103"	"type=BBCH, form=BBCH14"
"bsv_grandes_cultures_n10_22112018_cle815c16"	"bourgeon terminal ("	"BBCH31"	"). Mais la lutte con"	"3351-3357"	"type=BBCH, form=BBCH31"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"oraison ""(BBCH 00 à"	"BBCH 61"	") Coteaux du Béarn G"	"7454-7461"	"type=BBCH, form=BBCH 61"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"euilles ""(BBCH 00 à"	"BBCH 18"	") 1 500 ha 1 520 ha"	"7562-7569"	"type=BBCH, form=BBCH 18"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"oraison ""(BBCH 00 à"	"BBCH 69"	") Cette semaine, 11"	"7637-7644"	"type=BBCH, form=BBCH 69"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"tade "" floraison "" ("	"BBCH 61"	") sont particulièrem"	"12312-12319"	"type=BBCH, form=BBCH 61"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"tade "" floraison "" ("	"BBCH 61"	"). Bulletin de Santé"	"16547-16554"	"type=BBCH, form=BBCH 61"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"e "" 3 7 feuilles "" ("	"BBCH 13-17"	") à "" fruits verts """	"17909-17919"	"type=BBCH, form=BBCH 13-17"
"BSV_NA_LEGUMES_PC__INDUSTRIE_08_20190704_cle039911"	"à "" fruits verts "" ("	"BBCH 71"	"). Bulletin de Santé"	"17941-17948"	"type=BBCH, form=BBCH 71"
"bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44"	"derniers bouquets ("	"BBCH 89"	") Février"	"1234-1241"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44"	"derniers bouquets ("	"BBCH 89"	") Mars"	"1311-1318"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44"	"1 R14 ("	"BBCH 89"	") Avril"	"1374-1381"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44"	"1 R11 ("	"BBCH 89"	") Synthèse de pr"	"1426-1433"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44"	"olte > 2e couronne ("	"BBCH 89"	") Avril"	"19926-19933"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44"	"olte > 2e couronne ("	"BBCH 89"	") Synthèse de pr"	"20003-20010"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no18_du_20_Septembre_2019_cle01c961"	"derniers bouquets ("	"BBCH 89"	") Février"	"1339-1346"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no18_du_20_Septembre_2019_cle01c961"	"derniers bouquets ("	"BBCH 89"	") Mars"	"1416-1423"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no18_du_20_Septembre_2019_cle01c961"	"R15 fin de culture ("	"BBCH 89"	") Avril"	"1494-1501"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no18_du_20_Septembre_2019_cle01c961"	"1 R13 ("	"BBCH 89"	") Synthèse de pr"	"1546-1553"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no18_du_20_Septembre_2019_cle01c961"	"olte > 2e couronne ("	"BBCH 89"	") Avril"	"18317-18324"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no18_du_20_Septembre_2019_cle01c961"	"olte > 2e couronne ("	"BBCH 89"	") Synthèse de pr"	"18387-18394"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no2_du_25_Janvier_2019_cle0d6ef7"	"HS) Stade"	"BBCH"	"Stade physio"	"1061-1065"	"type=BBCH, form=BBCH"
"bsv_maraichage_no9_du_03_Mai_2019_cle842127"	"1 R27 ("	"BBCH 89"	") Décembre"	"1279-1286"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no9_du_03_Mai_2019_cle842127"	"2 R5 ("	"BBCH 89"	") Février"	"1333-1340"	"type=BBCH, form=BBCH 89"
"bsv_maraichage_no9_du_03_Mai_2019_cle842127"	"+ 1AB F8 ("	"BBCH 68"	") Mars"	"1404-1411"	"type=BBCH, form=BBCH 68"
"bsv_maraichage_no9_du_03_Mai_2019_cle842127"	"1 F4-F5 ("	"BBCH 64-65"	") Avril"	"1469-1479"	"type=BBCH, form=BBCH 64-65"
"bsv_maraichage_no9_du_03_Mai_2019_cle842127"	"1 F2 ("	"BBCH 62"	") Synthèse de pr"	"1523-1530"	"type=BBCH, form=BBCH 62"
"bsv_maraichage_no9_du_03_Mai_2019_cle842127"	"1 Stade"	"BBCH"	"Stade physio"	"24088-24092"	"type=BBCH, form=BBCH"
"BSV-viti-RA-15_09-07-2019_cle01ba24"	"iques compris entre"	"BBCH 75"	"(les grappes penden"	"17971-17978"	"type=BBCH, form=BBCH 75"
"BSV-viti-RA-15_09-07-2019_cle01ba24"	"se touchent pas) et"	"BBCH 79"	"(fermeture de la gr"	"18028-18035"	"type=BBCH, form=BBCH 79"
"BSV-viti-RA-16_16-07-2019_cle0bfb92"	"ades phénologiques ("	"BBCH 79"	"): fermeture de la g"	"18295-18302"	"type=BBCH, form=BBCH 79"
"BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93"	"la fermeture. Stade"	"BBCH :Stade 75"	": les baies ont la"	"2815-2829"	"type=BBCH, form=BBCH :Stade 75"
"BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93"	"ille de pois. Stade"	"BBCH :
Stade 75"	": les baies ont la"	"3152-3167"	"type=BBCH, form=BBCH :
Stade 75"
"BSV_NA_VIGNE_Haut-Poitou_15_20190806_cle4c661d"	"de la grappe. Stade"	"BBCH :Stade 79"	": la fermeture de l"	"4350-4364"	"type=BBCH, form=BBCH :Stade 79"
"bsv_raisin_n07_14052019_cle85bd4c"	"lles étalées (stade"	"53 BBCH"	") au stade boutons f"	"1309-1316"	"type=BBCH, form=53 BBCH"
"bsv_raisin_n07_14052019_cle85bd4c"	"raux séparés (stade"	"57 BBCH"	") sur les variétés p"	"1358-1365"	"type=BBCH, form=57 BBCH"
"bsv_raisin_n07_14052019_cle85bd4c"	"à 50) 15 17 Stades"	"BBCH"	"(0 à 100) 55 57 Des"	"1434-1438"	"type=BBCH, form=BBCH"
