id	type	context	context	context	word	context	context	context	location	features
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	Crédit	photo	CA69	Gel	Crédit	photo	:	2703-2706	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=Gel
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	photo	:	CA69	Gel	de	la	plupart	2726-2729	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=Gel
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	n°3	,	2019	Viticulture	région	AURA	,	2792-2803	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	de	température	.	Gel	:	La	situation	3793-3796	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=Gel
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	n°3	,	2019	Viticulture	région	AURA	,	4090-4101	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	pousse	de	la	vigne	ce	ravageur	ne	5009-5014	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=vigne
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	n°3	,	2019	Viticulture	région	AURA	,	5415-5426	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	n°3	,	2019	Viticulture	région	AURA	,	6285-6296	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	n°3	,	2019	Viticulture	région	AURA	,	6467-6478	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	secteur	,	les	vignes	sont	parvenues	à	7410-7416	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=vignes
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	.	Concernant	le	gel	cette	semaine	encore	7611-7614	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=gel
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	touchés	par	le	gel	Une	fois	de	7679-7682	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=gel
