"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"le. A partir de 3-4"	"feuilles, le colza"	"feuilles, le "	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"entre dans une dyna"	"15133-15151"	"type=N_PUN_N, match=fcu, form=feuilles, le colza"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"t rares. Rotation à"	"base de colza, céréales et fourrages"	"base de colza, céréales et fourrages"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, fourrages ( culture fourragère ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fourrageres, fourrages ( céréale fourragère ) =http://ontology.inrae.fr/frenchcropusage/Cereales_fourrageres"	": offrant nourritur"	"13510-13546"	"type=N_PUN_N_KON_N, match=fcu, form=base de colza, céréales et fourrages"
"BSV_GC_n_01_du_28_aout_2018_cle098cfb"	"p 02 Tournesol p 07"	"Tournesol et colza"	"Tournesol et colza"	"Tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"Soja p 08 Début de"	"438-456"	"type=N_KON_N, match=fcu, form=Tournesol et colza"
"BSV_GC_n_01_du_28_aout_2018_cle098cfb"	"ne, semis du 16/08,"	"Colza, apparition"	", apparition"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"de la 2ème feuille,"	"2495-2512"	"type=N_PUN_N, match=fcu, form=Colza, apparition"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"er : Blé p. 6 Orges"	"d'hiver et escourgeons"	"d'hiver et "	"escourgeons ( orge à six rangs ) =http://ontology.inrae.fr/frenchcropusage/Orges_six_rangs"	"p. 11 La pression d"	"361-383"	"type=N_KON_N, match=fcu, form=d'hiver et escourgeons"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"lement situées dans"	"l'Yonne et la Côte"	"l'Yonne et la "	"Côte ( poirée ) =http://ontology.inrae.fr/frenchcropusage/Poirees"	"d'Or qui subissent"	"1636-1654"	"type=N_KON_N, match=fcu, form=l'Yonne et la Côte"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"ition des premières"	"fleurs, les méligèthes"	", les méligèthes"	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"délaissent les bout"	"4060-4082"	"type=N_PUN_N, match=fcu, form=fleurs, les méligèthes"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"ions brun foncé sur"	"les feuilles et les gousses"	"les feuilles et les "	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses"	". Elle est favorisée"	"18177-18204"	"type=N_KON_N, match=fcu, form=les feuilles et les gousses"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"un sac plastique au"	"soleil, les insectes"	", les insectes"	"soleil ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"viendront se coller"	"19253-19273"	"type=N_PUN_N, match=fcu, form=soleil, les insectes"
"BSV_GC_n_1_du_27_08_19_cle0c116a"	"te semaine : Colza"	"Semis et levées de colza"	"Semis et levées de "	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"perturbés une fois"	"112-136"	"type=N_KON_N, match=fcu, form=Semis et levées de colza"
