	bsv	context	full_expression	match_with_fcu	proposition	context.1	location	features
268	BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b	talie et en Sicile.	Les tomates et les poivrons	tomates, poivrons		sont les hôtes prin	1522-1549	type=N_KON_N, form=Les tomates et les poivrons
269	BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b	es solanacées comme	l'aubergine, la pomme de terre, le poivron	pomme de terre, poivron	aubergine	et aussi aux advent	4679-4721	type=N_PUN_N, form=l'aubergine, la pomme de terre, le poivron
270	BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b	tes hôtes (morelle,	datura, repousse de tomate	tomate	"datura,
repousse de tomate"	). Vérifier si les p	6961-6987	type=N_PUN_N, form=datura, repousse de tomate
271	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	: forte pression en	aubergine et concombre	aubergine, concombre		. Pucerons : en prog	1136-1158	type=N_KON_N, form=aubergine et concombre
272	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	: en progression en	aubergine et poivron	aubergine, poivron		. Aleurodes : en pro	1189-1209	type=N_KON_N, form=aubergine et poivron
273	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	gine. Mildiou : sur	cucurbitacées et salade	salade	cucurbitacées	. Oïdium : présent e	1266-1289	type=N_KON_N, form=cucurbitacées et salade
274	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	Oïdium : présent en	cucurbitacées et tomate	tomate	cucurbitacées	, début en poivron.	1311-1334	type=N_KON_N, form=cucurbitacées et tomate
275	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	Virus : observés en	cucurbitacée et piment	piment	cucurbitacée	d'Espelette. Auberg	1424-1446	type=N_KON_N, form=cucurbitacée et piment
276	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	tes hôtes (morelle,	datura, repousse de tomate	tomate	"datura,
repousse de tomate"	). o Vérifier si les	7812-7838	type=N_PUN_N, form=datura, repousse de tomate
277	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	nnée. Chenille dans	tomate et trou de chenille	tomate	trou de chenille	dans piment(Crédit	13750-13776	type=N_KON_N, form=tomate et trou de chenille
278	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	e intensité faible.	Courgette et courge	Courgette, courge		: dans les Landes,	14602-14621	type=N_KON_N, form=Courgette et courge
279	BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738	sentes. Punaise sur	choux et dégât	choux		sur feuille (Crédit	21731-21745	type=N_KON_N, form=choux et dégât
280	BSV_legumes_02_du_20-03-19_cle455343	rcelles des réseaux	oignon et poireau	oignon, poireau		Etat général Les ém	2138-2155	type=N_KON_N, form=oignon et poireau
281	BSV_legumes_02_du_20-03-19_cle455343	es plants d'allium (	oignon, poireau, oignon	oignon, poireau, oignon		bulbille, échalote)	3413-3436	type=N_PUN_N, form=oignon, poireau, oignon
282	BSV_legumes_02_du_20-03-19_cle455343	on, poireau, oignon	bulbille, échalote	échalote	bulbille	). L'activité de la	3437-3455	type=N_PUN_N, form=bulbille, échalote
283	BSV_legumes_02_du_20-03-19_cle455343	ertains précédents (	céréales, lin	céréales, lin		, crucifères, légumi	11026-11039	type=N_PUN_N, form=céréales, lin
284	BSV_legumes_02_du_20-03-19_cle455343	pas démarré.- Pour	les oignons et échalotes	oignons, échalotes		bulbilles, le risqu	14433-14457	type=N_KON_N, form=les oignons et échalotes
285	BSV_legumes_16_du_24-07-19_cle4f7928	5	solanacées et concombre	concombre	solanacées	5	1593-1616	type=N_KON_N, form=solanacées et concombre
286	BSV_legumes_16_du_24-07-19_cle4f7928	semaine. Risque nul	SOLANACEES ET CONCOMBRE	CONCOMBRE	solanacees	Composition du rése	12176-12199	type=N_KON_N, form=SOLANACEES ET CONCOMBRE
287	BSV_legumes_16_du_24-07-19_cle4f7928	OMATE , AUBERGINE ,	POIVRON , CONCOMBRE	POIVRON, CONCOMBRE		) Etat général Les	13162-13181	type=N_PUN_N, form=POIVRON , CONCOMBRE
288	BSV_legumes_16_du_24-07-19_cle4f7928	ies). THRIPS SP . (	"AUBERGINE ,
CONCOMBRE , TOMATE ET POIVRON"	AUBERGINE, CONCOMBRE, TOMATE, POIVRON		) Etat général Quel	13401-13442	"type=N_PUN_N_KON_N, form=AUBERGINE ,
CONCOMBRE , TOMATE ET POIVRON"
289	BSV_legumes_16_du_24-07-19_cle4f7928	OPHAGES (	"SOLANACEES
  
  
    ET CONCOMBRE"	CONCOMBRE	solanacees	) Etat général	14053-14086	"type=N_KON_N, form=SOLANACEES
  
  
    ET CONCOMBRE"
290	BSV_legumes_16_du_24-07-19_cle4f7928	ES PHYSIOLOGIQUES (	"TOMATE ,
CONCOMBRE , POIVRON"	TOMATE, CONCOMBRE, POIVRON		ET AUBERGINE ) Etat	14781-14809	"type=N_PUN_N, form=TOMATE ,
CONCOMBRE , POIVRON"
291	BSV_legumes_16_du_24-07-19_cle4f7928	Coulure des fruits (	concombre, tomate et poivron	concombre, tomate, poivron		) Blossom and rot (p	14951-14979	type=N_PUN_N_KON_N, form=concombre, tomate et poivron
292	BSV_legumes_16_du_24-07-19_cle4f7928	n) Blossom and rot (	poivron, tomate	poivron, tomate		) Brûlure solaire (t	14998-15013	type=N_PUN_N, form=poivron, tomate
293	BSV_legumes_16_du_24-07-19_cle4f7928	uilles trifoliées à	formation des gousses, secteurs	gousses	formation des gousses	Epieds en Beauce, O	15783-15814	type=N_PUN_N, form=formation des gousses, secteurs
294	BSV_legumes_16_du_24-07-19_cle4f7928	icots stade levée à	formation des gousses, secteurs	gousses	formation des gousses	Saint Denis de l'Ho	15937-15968	type=N_PUN_N, form=formation des gousses, secteurs
295	BSV_legumes_16_du_24-07-19_cle4f7928	Pour les bulbilles (	oignon et échalote	oignon, échalote		) et les oignons de	18229-18247	type=N_KON_N, form=oignon et échalote
296	BSV_legumes_16_du_24-07-19_cle4f7928	juillet 2019 : Pour	les oignons et échalotes	oignons, échalotes		bulbilles ainsi que	18615-18639	type=N_KON_N, form=les oignons et échalotes
297	BSV_legumes_22_du_11-09-19__cle028fcc	ppement de l'oïdium.	Chou et salade	Chou, salade		: chenilles défolia	2109-2123	type=N_KON_N, form=Chou et salade
298	BSV_legumes_22_du_11-09-19__cle028fcc	les défoliatrices à	surveillerChou et navet	navet	surveillerchou	: attention à la mo	2152-2175	type=N_KON_N, form=surveillerChou et navet
299	BSV_legumes_22_du_11-09-19__cle028fcc	rcelles des réseaux	oignon et poireau	oignon, poireau		Etat général Pour l	2706-2723	type=N_KON_N, form=oignon et poireau
300	BSV_legumes_22_du_11-09-19__cle028fcc	es plants d'allium (	oignon, poireau, oignon	oignon, poireau, oignon		bulbille, échalote,	3953-3976	type=N_PUN_N, form=oignon, poireau, oignon
301	BSV_legumes_22_du_11-09-19__cle028fcc	on, poireau, oignon	bulbille, échalote	échalote	bulbille	, ). L'activité de l	3977-3995	type=N_PUN_N, form=bulbille, échalote
302	BSV_legumes_22_du_11-09-19__cle028fcc	est très polyphage (	céréales, colza	céréales, colza		, nombreux légumes )	4180-4195	type=N_PUN_N, form=céréales, colza
303	BSV_legumes_22_du_11-09-19__cle028fcc	eau d'observation 6	parcelles de flageolets, grossissement des grains	flageolets	"grossissement des grains,
parcelles de flageolets"	à récolte, secteurs	18166-18215	type=N_PUN_N, form=parcelles de flageolets, grossissement des grains
304	BSV_legumes_22_du_11-09-19__cle028fcc	iabon Châteaudun. 8	parcelles de haricots, filets	haricots	"parcelles de haricots,
filets"	à récolte, secteurs	18301-18330	type=N_PUN_N, form=parcelles de haricots, filets
305	BSV_legumes_27_du_06-11-19__cle059f89	rcelles des réseaux	oignon et poireau	oignon, poireau		Etat général Le nom	2064-2081	type=N_KON_N, form=oignon et poireau
306	BSV_legumes_27_du_06-11-19__cle059f89	emis est polyphage (	céréales, colza	céréales, colza		, nombreux légumes )	3860-3875	type=N_PUN_N, form=céréales, colza
307	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	ultures légumières,	allium et pomme de terre	pomme de terre	allium	Sommaire Crédit pho	149-173	type=N_KON_N, form=allium et pomme de terre
308	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	sibilité variétale.	Les batavias et les laitues	batavias, laitues		sont plus sensibles	6851-6878	type=N_KON_N, form=Les batavias et les laitues
309	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	ances variétales En	batavia, la résistance	batavia	résistance	intermédiaire la pl	8071-8093	type=N_PUN_N, form=batavia, la résistance
310	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	telles que le chou-	fleur, le brocoli, l'épinard	brocoli	épinard	ou encore la mâche.	8361-8389	type=N_PUN_N, form=fleur, le brocoli, l'épinard
311	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	riose de la carotte	Mouche de la carotte, modélisation	carotte	mouche de carotte	Alternariose de la	9688-9722	type=N_PUN_N, form=Mouche de la carotte, modélisation
312	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	r à proximité d'une	culture de tomates, l'arrachage	tomates	"arrachage,
culture de tomates"	de ces dernières à	33956-33987	type=N_PUN_N, form=culture de tomates, l'arrachage
313	BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16	cariose bronzée sur	fruits de tomates et d'aubergines	tomates	"d'aubergines,
fruits de tomates"	Laurent GIARDINO Ma	54910-54943	type=N_KON_N, form=fruits de tomates et d'aubergines
314	BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b	ultures légumières,	allium et pomme de terre	pomme de terre	allium	Sommaire Crédit pho	154-178	type=N_KON_N, form=allium et pomme de terre
315	BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b	le tissé ou non) en	pépinière, fauchage des abords	pépinière	fauchage des abords	. Eviter l'excès d'a	6454-6484	type=N_PUN_N, form=pépinière, fauchage des abords
316	BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b	choux frisé, choux	fleur et brocolis	brocolis		BSV n° 14, 2019 Cul	12065-12082	type=N_KON_N, form=fleur et brocolis
317	BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b	(chou-fleur d'été,	brocoli, romanesco	brocoli	romanesco	), par labour. Les v	17407-17425	type=N_PUN_N, form=brocoli, romanesco
318	BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b	r à proximité d'une	culture de tomates, l'arrachage	tomates	"arrachage,
culture de tomates"	de ces dernières à	33354-33385	type=N_PUN_N, form=culture de tomates, l'arrachage
319	BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b	Rhône-Alpes 27 27	Blette et épinard	Blette, épinard		Puceron : Risque fa	50650-50667	type=N_KON_N, form=Blette et épinard
320	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	ultures légumières,	allium et pomme de terre	pomme de terre	allium	Sommaire Crédit pho	150-174	type=N_KON_N, form=allium et pomme de terre
321	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	s caduques tels que	le frêne, le bouleau, le saule, le saule, le chêne, le hêtre, le noisetier, le sycomore	chêne, noisetier	"saule,
sycomore,
frêne,
bouleau,
hêtre"	, l'érable et le mar	3594-3681	type=N_PUN_N, form=le frêne, le bouleau, le saule, le saule, le chêne, le hêtre, le noisetier, le sycomore
322	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	ussi couramment sur	chardons, ortie	ortie	chardons	.Sites d'hivernage:	3744-3759	type=N_PUN_N, form=chardons, ortie
323	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	Principalement sur	Batavia et Feuille de Chêne	Batavia, Feuille de Chêne		blonde Présence	5293-5320	type=N_KON_N, form=Batavia et Feuille de Chêne
324	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	e légumes feuilles (	épinards, choux, salades	épinards, choux, salades		). Noctuelle de la t	7478-7502	type=N_PUN_N, form=épinards, choux, salades
325	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	t aux Brassicacées (	chou, navet	chou, navet		...), mais elle peut	8268-8279	type=N_PUN_N, form=chou, navet
326	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	ent s'installer sur	les betteraves, les laitues	betteraves, laitues		ou les chicorées. L	8337-8364	type=N_PUN_N, form=les betteraves, les laitues
327	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	le tissé ou non) en	pépinière, fauchage des abords	pépinière	fauchage des abords	. Eviter l'excès d'a	11515-11545	type=N_PUN_N, form=pépinière, fauchage des abords
328	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	attaque surtout aux	salades, chicorées et asperges	salades, chicorées, asperges		(attention aussi au	12613-12643	type=N_PUN_N_KON_N, form=salades, chicorées et asperges
329	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	gnalée non plus sur	repousses, jardins	jardins	repousses	ou tas de déchets.	30402-30420	type=N_PUN_N, form=repousses, jardins
330	BSV_legumes_allium_pomme_de_terre_AURA_2019-8_cle03ef71	en particulier aux	cultures de concombres, d'aubergines	concombres	"d'aubergines,
cultures de concombres"	, de tomates, de poi	52260-52296	type=N_PUN_N, form=cultures de concombres, d'aubergines
331	BSV_legumes_allium_pomme_de_terre_AURA_2019_-2_cle45e5c6	ultures légumières,	allium et pomme de terre	pomme de terre	allium	Sommaire Crédit pho	149-173	type=N_KON_N, form=allium et pomme de terre
332	BSV_legumes_allium_pomme_de_terre_AURA_2019_-2_cle45e5c6	Oignon en sec/	bulbe, Oignon	Oignon	bulbe	en vert/printemp	3865-3878	type=N_PUN_N, form=bulbe, Oignon
333	BSV_legumes_allium_pomme_de_terre_AURA_2019_-2_cle45e5c6	maladies Mouche de	la carotte, modélisation	carotte		Adventices AbsenceD	5956-5980	type=N_PUN_N, form=la carotte, modélisation
334	BSV_legumes_allium_pomme_de_terre_AURA_2019_-2_cle45e5c6	résence Piqures sur	ciboulette, indice	ciboulette	indice	1, faible Courbe d'	12411-12429	type=N_PUN_N, form=ciboulette, indice
335	BSV_legumes_allium_pomme_de_terre_AURA_2019_-2_cle45e5c6	, Capselle bourse à	pasteur, Laiteron, Pissenlit,Géranium, véronique, moutarde	Pissenlit, Géranium, véronique, moutarde	"pasteur,
laiteron"	blanche ; - Bande e	17900-17958	type=N_PUN_N, form=pasteur, Laiteron, Pissenlit,Géranium, véronique, moutarde
336	BSV_legumes_allium_pomme_de_terre_AURA_2019_-2_cle45e5c6	lifères, composées.	Blette et épinard	Blette, épinard		Puceron : Risque fa	18068-18085	type=N_KON_N, form=Blette et épinard
337	BSV_no14_legumes_05_juillet_2019_cle0e639d	as Poireau : Thrips	Courges et courgettes	Courges, courgettes		: Teigne Bac	354-375	type=N_KON_N, form=Courges et courgettes
338	BSV_no14_legumes_05_juillet_2019_cle0e639d	crucifères racines (	Navets, radis	Navets, radis		). La fin du 2eme vo	2252-2265	type=N_PUN_N, form=Navets, radis
339	BSV_no14_legumes_05_juillet_2019_cle0e639d	sur les plantes. En	pépinière, les semis	pépinière	semis	doivent être bâchés	4374-4394	type=N_PUN_N, form=pépinière, les semis
340	BSV_no14_legumes_05_juillet_2019_cle0e639d	ortes défoliations.	Courges et courgettes	Courges, courgettes		: Dégâts d'altise s	5226-5247	type=N_KON_N, form=Courges et courgettes
341	BSV_no14_legumes_05_juillet_2019_cle0e639d	cours. Désherbage :	Les courges et les courgettes	courges, courgettes		sont des cultures p	5595-5624	type=N_KON_N, form=Les courges et les courgettes
342	BSV_no14_legumes_05_juillet_2019_cle0e639d	uillet 2019, page 7	Carottes et céleris	Carottes, céleris		: Mouche de	9482-9501	type=N_KON_N, form=Carottes et céleris
343	BSV_no15_legumes_12_juillet_2019_cle032af3	Choucas Ail Rouille	Courges et courgettes	Courges, courgettes		: Bactérioses Poirea	359-380	type=N_KON_N, form=Courges et courgettes
344	BSV_no15_legumes_12_juillet_2019_cle032af3	ères (Photo CA BZH)	Courges et courgettes	Courges, courgettes		: Cultures souvent	3824-3845	type=N_KON_N, form=Courges et courgettes
345	BSV_no15_legumes_12_juillet_2019_cle032af3	uillet 2019, page 6	Carottes et céleris	Carottes, céleris		: Vol Mouche de la	6727-6746	type=N_KON_N, form=Carottes et céleris
346	BSV_no19_legumes_9_aout_2019_cle82c98c	rsiste plus que sur	radis et navets	radis, navets		, ou les temps de tr	2258-2273	type=N_KON_N, form=radis et navets
347	BSV_no19_legumes_9_aout_2019_cle82c98c	9 aout 2019, page 5	Carottes, panais et céleris	Carottes, panais, céleris		: Mouche de la caro	6799-6826	type=N_PUN_N_KON_N, form=Carottes, panais et céleris
348	BSV_no19_legumes_9_aout_2019_cle82c98c	9 aout 2019, page 6	Carottes, panais et céleris	Carottes, panais, céleris		(suite) : Mouche du	7791-7818	type=N_PUN_N_KON_N, form=Carottes, panais et céleris
349	B_V_NA_MARAICHAGE_Sud_NA_09_20191028_cle4d1138	umes Brassicacées :	tenthrèdes, piérides, mouches du chou	chou	"mouches du chou,
tenthrèdes,
piérides"	. Poireau : alternar	1502-1539	type=N_PUN_N, form=tenthrèdes, piérides, mouches du chou
350	B_V_NA_MARAICHAGE_Sud_NA_09_20191028_cle4d1138	ugose Fruit Virus :	tomate et poivron	tomate, poivron		: propagation du vi	1745-1762	type=N_KON_N, form=tomate et poivron
351	B_V_NA_MARAICHAGE_Sud_NA_09_20191028_cle4d1138	gine : botrytis sur	fruit, tomate	tomate		: botrytis sur feui	11096-11109	type=N_PUN_N, form=fruit, tomate
352	B_V_NA_MARAICHAGE_Sud_NA_09_20191028_cle4d1138	tes hôtes (morelle,	datura, repousse de tomate	tomate	"datura,
repousse de tomate"	). o Vérifier si les	15729-15755	type=N_PUN_N, form=datura, repousse de tomate
353	B_V_NA_MARAICHAGE_Sud_NA_09_20191028_cle4d1138	Mouche du chou sur	radis, piérides du chou, tenthrède	radis, chou	"tenthrède,
piérides du chou"	sur chou(Crédit pho	20425-20459	type=N_PUN_N, form=radis, piérides du chou, tenthrède
354	bsv_maraichage_lr_n08_17042019_cle0913a2	sont en place dans	les vergers et les cultures	vergers		légumières. Les tra	3568-3595	type=N_KON_N, form=les vergers et les cultures
355	bsv_maraichage_lr_n13_26-06-2019_cle03aab1	sont en place dans	les vergers et les cultures	vergers		légumières. Les tra	4141-4168	type=N_KON_N, form=les vergers et les cultures
356	bsv_maraichage_lr_n13_26-06-2019_cle03aab1	rès gros dégâts sur	les cultures de cucurbitacées(concombre, melon, courgette	melon, courgette	"cultures de cucurbitacées,
concombre"	). Ces plantes relai	8721-8778	type=N_PUN_N, form=les cultures de cucurbitacées(concombre, melon, courgette
357	bsv_maraichage_lr_n13_26-06-2019_cle03aab1	s relais comme pour	les melons et courgettes	melons, courgettes		sous abris. AUBERGI	25232-25256	type=N_KON_N, form=les melons et courgettes
358	bsv_maraichage_n14_19082019_cle01948b	illes phytophages :	Piéride du chou, Piéride de la rave	chou	"piéride du chou,
piéride de rave"	(Pieris brassicae,	9426-9461	type=N_PUN_N, form=Piéride du chou, Piéride de la rave
359	bsv_maraichage_n14_19082019_cle01948b	s tabaci) Comme sur	oignon, les orages et pluies	oignon	"pluies,
orages"	ont nettement contr	10221-10249	type=N_PUN_N_KON_N, form=oignon, les orages et pluies
360	bsv_maraichage_n15_23082018_cle0775f5	vations : Comme sur	salades, les corvidés	salades	corvidés	sont à l'origine de	7212-7233	type=N_PUN_N, form=salades, les corvidés
361	bsv_maraichage_n15_23082018_cle0775f5	illes phytophages :	Piéride du chou, Piéride de la rave	chou	"piéride du chou,
piéride de rave"	(Pieris brassicae,	7946-7981	type=N_PUN_N, form=Piéride du chou, Piéride de la rave
362	bsv_maraichage_n19_10102019_cle038cd4	illes phytophages :	Piéride du chou, Piéride de la rave	chou	"piéride du chou,
piéride de rave"	(Pieris brassicae,	6760-6795	type=N_PUN_N, form=Piéride du chou, Piéride de la rave
363	bsv_maraichage_no13_du_18_juillet_2018-2_cle0745d8	ées (ex. aubergine,	pomme de terre, poivron	pomme de terre, poivron		) ou sauvages (ex. m	6043-6066	type=N_PUN_N, form=pomme de terre, poivron
364	bsv_maraichage_no13_du_18_juillet_2018-2_cle0745d8	touchées tout comme	le poivron, le concombre, le melon et la courge	poivron, concombre, melon, courge		. Les symptômes peuv	10837-10884	type=N_PUN_N_KON_N, form=le poivron, le concombre, le melon et la courge
365	bsv_maraichage_no13_du_18_juillet_2018-2_cle0745d8	sont en place dans	les vergers et les cultures	vergers		légumières. Les tra	22472-22499	type=N_KON_N, form=les vergers et les cultures
366	bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44	ou d'autres espèces	hôtes(aubergine, tabac	tabac	"hôtes,
aubergine"	, morelle ) est indi	4489-4511	type=N_PUN_N, form=hôtes(aubergine, tabac
367	bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44	ur cette punaise en	tomate et les effectifs	tomate		doivent être survei	6898-6921	type=N_KON_N, form=tomate et les effectifs
368	bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44	iminées pour éviter	la sporulation du champignon et l'installation de l'inoculum	champignon	"installation de inoculum,
sporulation du champignon"	dans la serre La pr	14879-14939	type=N_KON_N, form=la sporulation du champignon et l'installation de l'inoculum
369	bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44	uemment signalé sur	maïs, riz et sorgho	maïs, riz, sorgho		, plus rarement sur	29257-29276	type=N_PUN_N_KON_N, form=maïs, riz et sorgho
370	bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44	cées, brassicacées,	luzerne, oignon	luzerne, oignon		parmi d'autres (1)	29325-29340	type=N_PUN_N, form=luzerne, oignon
371	bsv_maraichage_no17_du_09_Septembre_2019_cle0c1c44	les inférieures sur	les cultures de maïs, sorgho et riz	maïs, sorgho, riz	cultures de maïs	. Il sont groupés en	31144-31179	type=N_PUN_N_KON_N, form=les cultures de maïs, sorgho et riz
372	bsv_maraichage_no17_du_24_octobre_2018_cle82d6cc	e risque Bremia sur	laitue et scarole	laitue, scarole		. Evaluation du risq	7104-7121	type=N_KON_N, form=laitue et scarole
373	bsv_maraichage_no17_du_24_octobre_2018_cle82d6cc	sont en place dans	les vergers et les cultures	vergers		légumières. Les tra	14750-14777	type=N_KON_N, form=les vergers et les cultures
374	bsv_maraichage_no18_du_20_Septembre_2019_cle01c961	ur cette punaise en	tomate et les effectifs	tomate		doivent être survei	6970-6993	type=N_KON_N, form=tomate et les effectifs
375	bsv_maraichage_no18_du_20_Septembre_2019_cle01c961	iminées pour éviter	la sporulation du champignon et l'installation de l'inoculum	champignon	"installation de inoculum,
sporulation du champignon"	dans la serre La pr	13948-14008	type=N_KON_N, form=la sporulation du champignon et l'installation de l'inoculum
376	bsv_maraichage_no18_du_20_Septembre_2019_cle01c961	uemment signalé sur	maïs, riz et sorgho	maïs, riz, sorgho		, plus rarement sur	31721-31740	type=N_PUN_N_KON_N, form=maïs, riz et sorgho
377	bsv_maraichage_no18_du_20_Septembre_2019_cle01c961	cées, brassicacées,	luzerne, oignon	luzerne, oignon		parmi d'autres (1)	31789-31804	type=N_PUN_N, form=luzerne, oignon
378	bsv_maraichage_no18_du_20_Septembre_2019_cle01c961	les inférieures sur	les cultures de maïs, sorgho et riz	maïs, sorgho, riz	cultures de maïs	. Il sont groupés en	33608-33643	type=N_PUN_N_KON_N, form=les cultures de maïs, sorgho et riz
379	bsv_maraichage_no2_du_25_Janvier_2019_cle0d6ef7	atement pour éviter	la sporulation du champignon et l'installation de l'inoculum	champignon	"installation de inoculum,
sporulation du champignon"	dans la serre. Le t	7213-7273	type=N_KON_N, form=la sporulation du champignon et l'installation de l'inoculum
380	bsv_maraichage_no9_du_03_Mai_2019_cle842127	ur cette punaise en	tomate et les effectifs	tomate		doivent être survei	9559-9582	type=N_KON_N, form=tomate et les effectifs
381	bsv_maraichage_no9_du_03_Mai_2019_cle842127	plutôt en hiver sur	cultures de blettes et salades	blettes, salades	cultures de blettes	dans les zones litt	13536-13566	type=N_KON_N, form=cultures de blettes et salades
382	bsv_maraichage_no9_du_03_Mai_2019_cle842127	iminées pour éviter	la sporulation du champignon et l'installation de l'inoculum	champignon	"installation de inoculum,
sporulation du champignon"	dans la serre La pr	16513-16573	type=N_KON_N, form=la sporulation du champignon et l'installation de l'inoculum
383	bsv_maraichage_no9_du_03_Mai_2019_cle842127	ine hors du réseau.	La plupart du temps, le champignon	champignon		se développe au niv	27989-28023	type=N_PUN_N, form=La plupart du temps, le champignon
384	bsv_maraichage_no9_du_03_Mai_2019_cle842127	s après la première	infestation et le champignon	champignon	infestation	se développe et se	38432-38460	type=N_KON_N, form=infestation et le champignon
385	bsv_maraichage_no9_du_03_Mai_2019_cle842127	airement à d'autres	champignons, l'oïdium	champignons	oïdium	n'a pas besoin d'un	38767-38788	type=N_PUN_N, form=champignons, l'oïdium
386	BSV-viti-RA-03_16-04-2019_cle0bbc57	2019. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	2507-2526	type=N_PUN_N, form=Viticulture, région
387	BSV-viti-RA-03_16-04-2019_cle0bbc57	CA69 BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	2787-2806	type=N_PUN_N, form=Viticulture, région
388	BSV-viti-RA-03_16-04-2019_cle0bbc57	nent. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	4081-4100	type=N_PUN_N, form=Viticulture, région
389	BSV-viti-RA-03_16-04-2019_cle0bbc57	e nul BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	5404-5423	type=N_PUN_N, form=Viticulture, région
390	BSV-viti-RA-03_16-04-2019_cle0bbc57	gâts. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	6274-6293	type=N_PUN_N, form=Viticulture, région
391	BSV-viti-RA-03_16-04-2019_cle0bbc57	maine BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	6456-6475	type=N_PUN_N, form=Viticulture, région
392	BSV-viti-RA-03_16-04-2019_cle0bbc57	scat blanc. Dans ce	secteur, les vignes	vignes		sont parvenues à at	7383-7402	type=N_PUN_N, form=secteur, les vignes
393	BSV-viti-RA-03_16-04-2019_cle0bbc57	ble ! BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	8448-8467	type=N_PUN_N, form=Viticulture, région
394	BSV-viti-RA-03_16-04-2019_cle0bbc57	ours. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	10642-10661	type=N_PUN_N, form=Viticulture, région
395	BSV-viti-RA-03_16-04-2019_cle0bbc57	tard. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	12297-12316	type=N_PUN_N, form=Viticulture, région
396	BSV-viti-RA-03_16-04-2019_cle0bbc57	ours. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	12960-12979	type=N_PUN_N, form=Viticulture, région
397	BSV-viti-RA-03_16-04-2019_cle0bbc57	hyto. BSV n°3, 2019	Viticulture, région	Viticulture		AURA, édition du te	14697-14716	type=N_PUN_N, form=Viticulture, région
398	BSV-viti-RA-15_09-07-2019_cle01ba24	lement. À partir de	la fermeture des grappes, les stomates des baies	baies	"stomates des baies,
fermeture des grappes"	se ferment empêchan	597-645	type=N_PUN_N, form=la fermeture des grappes, les stomates des baies
399	BSV-viti-RA-15_09-07-2019_cle01ba24	is contrairement au	mildiou, les baies	baies	mildiou	peuvent être encore	1290-1308	type=N_PUN_N, form=mildiou, les baies
