"bsv"	"type"	"length"	"header"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"de "" Gonflement "" ("	"BBCH 45"	"BBCH @card@"	""	") à "" Fin épiaison """	"1724-1731"	"type=BBCH-DD, canonical-form=BBCH 45, form=BBCH 45"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"à "" Fin épiaison "" ("	"BBCH 59"	"BBCH @card@"	""	"). Septoriose : pres"	"1753-1760"	"type=BBCH-DD, canonical-form=BBCH 59, form=BBCH 59"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"caryopse sec "" ("	"BBCH 00"	"BBCH @card@"	""	"). imbibition graine"	"2871-2878"	"type=BBCH-DD, canonical-form=BBCH 00, form=BBCH 00"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"mbibition graine "" ("	"BBCH 01 - 03"	"BBCH @card@"	""	"). levée et feuille"	"2902-2914"	"type=BBCH-DD, canonical-form=BBCH 01 - 03, form=BBCH 01 - 03"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"rt du coléoptile "" ("	"BBCH 09 - 10"	"BBCH @card@"	""	"). 1 à 2 Feuilles """	"2956-2968"	"type=BBCH-DD, canonical-form=BBCH 09 - 10, form=BBCH 09 - 10"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	". 1 à 2 Feuilles "" ("	"BBCH 11 - 12"	"BBCH @card@"	""	"). 6 Feuilles "" (BBC"	"2989-3001"	"type=BBCH-DD, canonical-form=BBCH 11 - 12, form=BBCH 11 - 12"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"12). 6 Feuilles "" ("	"BBCH 16"	"BBCH @card@"	""	"). % de plan"	"3018-3025"	"type=BBCH-DD, canonical-form=BBCH 16, form=BBCH 16"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	": D u stade semis ("	"BBCH 00"	"BBCH @card@"	""	") au stade 3-4 feuil"	"4659-4666"	"type=BBCH-DD, canonical-form=BBCH 00, form=BBCH 00"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"stade 3-4 feuilles ("	"BBCH 14"	"BBCH @card@"	""	"). Symptômes : Trou"	"4691-4698"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"de la germination ("	"BBCH 05"	"BBCH @card@"	""	") au stade 8 à 10 fe"	"5750-5757"	"type=BBCH-DD, canonical-form=BBCH 05, form=BBCH 05"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"de 8 à 10 feuilles ("	"BBCH 18"	"BBCH @card@"	""	"). Symptômes : Attaq"	"5785-5792"	"type=BBCH-DD, canonical-form=BBCH 18, form=BBCH 18"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"sque : de la levée ("	"BBCH 09"	"BBCH @card@"	""	") à 5/6 feuilles (BB"	"6513-6520"	"type=BBCH-DD, canonical-form=BBCH 09, form=BBCH 09"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"09) à 5/6 feuilles ("	"BBCH 16"	"BBCH @card@"	""	"). Seuil indicatif d"	"6538-6545"	"type=BBCH-DD, canonical-form=BBCH 16, form=BBCH 16"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	": du stade 2 nœuds ("	"BBCH 32"	"BBCH @card@"	""	") à fin floraison (B"	"9809-9816"	"type=BBCH-DD, canonical-form=BBCH 32, form=BBCH 32"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"2) à fin floraison ("	"BBCH 69"	"BBCH @card@"	""	"). Seuil indicatif d"	"9835-9842"	"type=BBCH-DD, canonical-form=BBCH 69, form=BBCH 69"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"ère feuille étalée ("	"BBCH 39"	"BBCH @card@"	""	") :L'observation se"	"9915-9922"	"type=BBCH-DD, canonical-form=BBCH 39, form=BBCH 39"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"stade "" épi 1 cm "" ("	"BBCH 30"	"BBCH @card@"	""	") : présence de foye"	"12196-12203"	"type=BBCH-DD, canonical-form=BBCH 30, form=BBCH 30"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"ir du stade 1 nœud ("	"BBCH 31"	"BBCH @card@"	""	") : dès les première"	"12334-12341"	"type=BBCH-DD, canonical-form=BBCH 31, form=BBCH 31"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"html"	"17387"	""	"l'inflorescence "" ("	"BBCH55"	"BBCH55"	""	") à "" floraison "" (B"	"1350-1356"	"type=BBCH, canonical-form=BBCH 55, form=BBCH55"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"html"	"17387"	""	"5) à "" floraison "" ("	"BBCH65"	"BBCH65"	""	"). Cicadelles : les"	"1375-1381"	"type=BBCH, canonical-form=BBCH 65, form=BBCH65"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"html"	"17387"	""	"l'inflorescence "" ("	"BBCH 55"	"BBCH @card@"	""	") 62 % sont au stade"	"1945-1952"	"type=BBCH-DD, canonical-form=BBCH 55, form=BBCH 55"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"html"	"17387"	""	"tade "" floraison "" ("	"BBCH 65"	"BBCH @card@"	""	") % de plan"	"1988-1995"	"type=BBCH-DD, canonical-form=BBCH 65, form=BBCH 65"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"html"	"17387"	""	"du stade bouton (D1"	"BBCH 50"	"BBCH @card@"	""	") à début floraison"	"8842-8849"	"type=BBCH-DD, canonical-form=BBCH 50, form=BBCH 50"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"html"	"17387"	""	"début floraison (F1"	"BBCH 60"	"BBCH @card@"	""	"). Au-delà de ce sta"	"8873-8880"	"type=BBCH-DD, canonical-form=BBCH 60, form=BBCH 60"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	"tade "" 8 feuilles """	"BBCH 18"	"BBCH @card@"	""	"à "" rosette "" BBCH"	"1357-1364"	"type=BBCH-DD, canonical-form=BBCH 18, form=BBCH 18"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	"CH 18 à "" rosette """	"BBCH 19"	"BBCH @card@"	""	". Charançon du bourg"	"1379-1386"	"type=BBCH-DD, canonical-form=BBCH 19, form=BBCH 19"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	""" début tallage "" ("	"BBCH 21"	"BBCH @card@"	""	"). Limaces : vigilan"	"2144-2151"	"type=BBCH-DD, canonical-form=BBCH 21, form=BBCH 21"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	""" 8 feuilles "" (B8"	"BBCH 18"	"BBCH @card@"	""	"), 86 % sont au stad"	"2716-2723"	"type=BBCH-DD, canonical-form=BBCH 18, form=BBCH 18"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	"ade "" Rosette "" (B9"	"BBCH 19"	"BBCH @card@"	""	"). Charançon"	"2761-2768"	"type=BBCH-DD, canonical-form=BBCH 19, form=BBCH 19"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	"rs à "" 1 feuille "" ("	"BBCH 11"	"BBCH @card@"	""	"). Des semis ont pu"	"12311-12318"	"type=BBCH-DD, canonical-form=BBCH 11, form=BBCH 11"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	"sque : de la levée ("	"BBCH 09"	"BBCH @card@"	""	") à au-delà fin tall"	"14971-14978"	"type=BBCH-DD, canonical-form=BBCH 09, form=BBCH 09"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"html"	"17196"	""	"lage si nécessaire ("	"BBCH 29"	"BBCH @card@"	""	"et +). Evaluation d"	"15017-15024"	"type=BBCH-DD, canonical-form=BBCH 29, form=BBCH 29"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"html"	"21355"	""	"boutons accolés (D1"	"BBCH 50"	"BBCH @card@"	""	") au stade boutons s"	"2185-2192"	"type=BBCH-DD, canonical-form=BBCH 50, form=BBCH 50"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"html"	"21355"	""	"boutons séparés (E"	"BBCH 57"	"BBCH @card@"	""	"). La stratégie de l"	"2222-2229"	"type=BBCH-DD, canonical-form=BBCH 57, form=BBCH 57"
"BSV_NA_GC_AQUITAINE_N01_20190207_cle01cb7e"	"html"	"6830"	""	"jorité le stade C1 ("	"BBCH30"	"BBCH30"	""	": reprise de végéta"	"2238-2244"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"BSV_NA_GC_AQUITAINE_N01_20190207_cle01cb7e"	"html"	"6830"	""	"s sont au stade C2 ("	"BBCH31"	"BBCH31"	""	": entre-noeuds visi"	"2345-2351"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"html"	"13015"	""	"épassé le stade B3 ("	"BBCH13"	"BBCH13"	""	": 3 feuilles), avec"	"4558-4564"	"type=BBCH, canonical-form=BBCH 13, form=BBCH13"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"html"	"13015"	""	"es s'étalent de B2 ("	"BBCH12"	"BBCH12"	""	": 2 feuilles) au st"	"4675-4681"	"type=BBCH, canonical-form=BBCH 12, form=BBCH12"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"html"	"13015"	""	"lles) au stade B10 ("	"BBCH19"	"BBCH19"	""	": 10 feuilles). Bul"	"4710-4716"	"type=BBCH, canonical-form=BBCH 19, form=BBCH19"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"html"	"13015"	""	"bourgeon terminal ("	"BBCH31"	"BBCH31"	""	"). Mais la lutte con"	"6765-6771"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"html"	"33318"	""	": 7 à 12 feuilles ("	"BBCH 17 à 19"	"BBCH @card@ à @card@"	""	"). Surveillez l'arri"	"1229-1241"	"type=BBCH_RANGE, number=19, canonical-form=BBCH 19, form=BBCH 17 à 19"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"html"	"33318"	""	": 7 à 12 feuilles ("	"BBCH 17 à 19"	"BBCH @card@ à @card@"	""	"). Surveillez l'arri"	"1229-1241"	"type=BBCH_RANGE, number=17, canonical-form=BBCH 17, form=BBCH 17 à 19"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"html"	"33318"	""	"quelques situations"	"(en 17).
Tournesol
 Stade : semis en cours. Limaces : à surveiller. Oiseaux : à surveiller.
Blés d'hiver

Stade : s'étalent de 2 nœuds (32) à DFP (37).Piétin verse : hors période de gestion pour tous les blés.Septoriose : en progression, risque faible à modéré selon les situations.Rouilles et oïdium : encore présents, à surveiller sur les variétés sensibles. Pucerons : signalés sur feuilles mais hors période de risque.
Orges d'hiver
 Stade : majorité à DFP (37). Rhynchosporiose, helmintosporiose : présence modérée, à surveiller notamment en situation sans protection. Rouille naine et oïdium : présentes sur variété sensible. Pucerons : signalés sur feuilles mais hors période de risque. Septoriose de l'orge : merci de nous faire remonter vos observations en cas de détection.
Maïs
 Stade : semis en cours. Limaces : risque faible avec les faibles pluies annoncées.
Nota : le stade BBCH est entre parenthèses"	"( en @card@ ) . tournesol stade : semis en cours|cour . limace : à surveiller . oiseau : à surveiller . blé d'hiver stade : s'étalent de @card@ nœud ( @card@ ) à DFP ( @card@ ) . piétin verse : hors période de gestion pour tout le blé . Septoriose : en progression , risquer faible à modéré selon le situation . rouille et oïdium : encore présent , à surveiller sur le variété sensible . puceron : signaler sur feuille mais hors période de risque . Orges d'hiver stade : majorité à DFP ( @card@ ) . Rhynchosporiose , helmintosporiose : présence modéré , à surveiller notamment en situation sans protection . rouille nain et oïdium : présent sur variété sensible . puceron : signaler sur feuille mais hors période de risque . Septoriose de l'orge : merci de nous faire remonter votre observation en cas de détection . maïs stade : semis en cours|cour . limace : risquer faible avec le faible pluie annoncer . nota : le stade BBCH être entre parenthèse"	""	". Nombre de parcelle"	"1546-2461"	"type=BBCH_in_context200, canonical-form=BBCH 17, form=(en 17).
Tournesol
 Stade : semis en cours. Limaces : à surveiller. Oiseaux : à surveiller.
Blés d'hiver

Stade : s'étalent de 2 nœuds (32) à DFP (37).Piétin verse : hors période de gestion pour tous les blés.Septoriose : en progression, risque faible à modéré selon les situations.Rouilles et oïdium : encore présents, à surveiller sur les variétés sensibles. Pucerons : signalés sur feuilles mais hors période de risque.
Orges d'hiver
 Stade : majorité à DFP (37). Rhynchosporiose, helmintosporiose : présence modérée, à surveiller notamment en situation sans protection. Rouille naine et oïdium : présentes sur variété sensible. Pucerons : signalés sur feuilles mais hors période de risque. Septoriose de l'orge : merci de nous faire remonter vos observations en cas de détection.
Maïs
 Stade : semis en cours. Limaces : risque faible avec les faibles pluies annoncées.
Nota : le stade BBCH est entre parenthèses"
