"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"% sont au stadeG1 ("	"BBCH65"	"BBCH65"	""	": chute des premier"	"16878-16884"	"type=BBCH, canonical-form=BBCH 65, form=BBCH65"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"t 31 % au stade F2 ("	"BBCH61"	"BBCH61"	""	": nombreuses fleurs"	"16936-16942"	"type=BBCH, canonical-form=BBCH 61, form=BBCH61"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"% sont au stade F1 ("	"BBCH60"	"BBCH60"	""	": premières fleurs"	"16996-17002"	"type=BBCH, canonical-form=BBCH 60, form=BBCH60"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"sque : du stade D1 ("	"BBCH50"	"BBCH50"	""	"boutons floraux acc"	"22936-22942"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"début redressement ("	"BBCH29"	"BBCH29"	""	"). Les semis de fin"	"3216-3222"	"type=BBCH, canonical-form=BBCH 29, form=BBCH29"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"au stade épi 1 cm ("	"BBCH30"	"BBCH30"	""	"), quelques parcelle"	"3305-3311"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"début redressement ("	"BBCH29"	"BBCH29"	""	"). Les semis les plu"	"3386-3392"	"type=BBCH, canonical-form=BBCH 29, form=BBCH29"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"le stade épi 1 cm ("	"BBCH30"	"BBCH30"	""	") est atteint pour u"	"3509-3515"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"début redressement ("	"BBCH29"	"BBCH29"	""	"). Repérer le stade"	"3631-3637"	"type=BBCH, canonical-form=BBCH 29, form=BBCH29"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"du stade épi 1 cm ("	"BBCH30"	"BBCH30"	""	").Seuils indicatifs"	"5843-5849"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"du stade épi 1 cm ("	"BBCH30"	"BBCH30"	""	"). La grille de risq"	"6687-6693"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"ajorité le stade E ("	"BBCH57"	"BBCH57"	""	": les pédoncules fl"	"9227-9233"	"type=BBCH, canonical-form=BBCH 57, form=BBCH57"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"fleurs ouvertes et"	"BBCH61"	"BBCH61"	""	": allongement de la"	"9421-9427"	"type=BBCH, canonical-form=BBCH 61, form=BBCH61"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"u sont au stade D2 ("	"BBCH53"	"BBCH53"	""	": inflorescence pri"	"9559-9565"	"type=BBCH, canonical-form=BBCH 53, form=BBCH53"
